Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,0.000010,0.000011,0.000010,0.000011,0.000011,375466274
2022-07-14,0.000011,0.000011,0.000010,0.000011,0.000011,316823106
2022-07-15,0.000011,0.000011,0.000011,0.000011,0.000011,357658131
2022-07-16,0.000011,0.000011,0.000011,0.000011,0.000011,280242047
2022-07-17,0.000011,0.000011,0.000011,0.000011,0.000011,259125727
2022-07-18,0.000011,0.000012,0.000011,0.000012,0.000012,831610865
2022-07-19,0.000012,0.000012,0.000011,0.000012,0.000012,781843830
2022-07-20,0.000012,0.000013,0.000012,0.000012,0.000012,991060912
2022-07-21,0.000012,0.000012,0.000012,0.000012,0.000012,532904234
2022-07-22,0.000012,0.000012,0.000012,0.000012,0.000012,451101879
2022-07-23,0.000012,0.000012,0.000011,0.000012,0.000012,379227119
2022-07-24,0.000012,0.000012,0.000012,0.000012,0.000012,288641414
2022-07-25,0.000012,0.000012,0.000011,0.000011,0.000011,379432978
2022-07-26,0.000011,0.000011,0.000010,0.000011,0.000011,342257533
2022-07-27,0.000011,0.000011,0.000011,0.000011,0.000011,497164432
2022-07-28,0.000011,0.000012,0.000011,0.000012,0.000012,675002934
2022-07-29,0.000012,0.000012,0.000011,0.000012,0.000012,576891148
2022-07-30,0.000012,0.000013,0.000012,0.000012,0.000012,683137653
2022-07-31,0.000012,0.000012,0.000012,0.000012,0.000012,421765443
2022-08-01,0.000012,0.000013,0.000012,0.000012,0.000012,616917563
2022-08-02,0.000012,0.000012,0.000012,0.000012,0.000012,395081060
2022-08-03,0.000012,0.000012,0.000012,0.000012,0.000012,317439052
2022-08-04,0.000012,0.000012,0.000012,0.000012,0.000012,301914202
2022-08-05,0.000012,0.000012,0.000012,0.000012,0.000012,337423841
2022-08-06,0.000012,0.000012,0.000012,0.000012,0.000012,278723005
2022-08-07,0.000012,0.000012,0.000012,0.000012,0.000012,225119696
2022-08-08,0.000012,0.000013,0.000012,0.000012,0.000012,553334119
2022-08-09,0.000012,0.000013,0.000012,0.000012,0.000012,590838988
2022-08-10,0.000012,0.000012,0.000012,0.000012,0.000012,418731355
2022-08-11,0.000012,0.000013,0.000012,0.000012,0.000012,496656656
2022-08-12,0.000012,0.000013,0.000012,0.000013,0.000013,331254898
2022-08-13,0.000013,0.000013,0.000013,0.000013,0.000013,350167369
2022-08-14,0.000013,0.000018,0.000013,0.000017,0.000017,3873103860
2022-08-15,0.000017,0.000017,0.000015,0.000015,0.000015,2327359499
2022-08-16,0.000015,0.000016,0.000015,0.000016,0.000016,1302891507
2022-08-17,0.000016,0.000016,0.000015,0.000015,0.000015,1047374797
2022-08-18,0.000015,0.000015,0.000014,0.000014,0.000014,557409408
2022-08-19,0.000014,0.000014,0.000013,0.000013,0.000013,1128117927
2022-08-20,0.000013,0.000014,0.000013,0.000013,0.000013,745673615
2022-08-21,0.000013,0.000014,0.000013,0.000013,0.000013,432719644
2022-08-22,0.000013,0.000013,0.000013,0.000013,0.000013,447215233
2022-08-23,0.000013,0.000013,0.000013,0.000013,0.000013,401297299
2022-08-24,0.000013,0.000013,0.000013,0.000013,0.000013,397540278
2022-08-25,0.000013,0.000015,0.000013,0.000014,0.000014,959400151
2022-08-26,0.000014,0.000014,0.000012,0.000012,0.000012,819192697
2022-08-27,0.000012,0.000013,0.000012,0.000012,0.000012,437249950
2022-08-28,0.000012,0.000012,0.000012,0.000012,0.000012,328030702
2022-08-29,0.000012,0.000013,0.000012,0.000012,0.000012,393463237
2022-08-30,0.000012,0.000013,0.000012,0.000012,0.000012,378833439
2022-08-31,0.000012,0.000013,0.000012,0.000012,0.000012,290944041
2022-09-01,0.000012,0.000012,0.000012,0.000012,0.000012,284561703
2022-09-02,0.000012,0.000012,0.000012,0.000012,0.000012,295889011
2022-09-03,0.000012,0.000012,0.000012,0.000012,0.000012,219322329
2022-09-04,0.000012,0.000013,0.000012,0.000013,0.000013,553998915
2022-09-05,0.000013,0.000013,0.000012,0.000013,0.000013,322249006
2022-09-06,0.000013,0.000013,0.000012,0.000012,0.000012,502320543
2022-09-07,0.000012,0.000012,0.000012,0.000012,0.000012,322581607
2022-09-08,0.000012,0.000012,0.000012,0.000012,0.000012,323307668
